From,To,Length(m),Azimuth(deg),Clino(deg)
# Equated stations
148@byaki_01,148@byaki_02
42@byaki_02,42@byaki_03
239@byaki_02,239@byaki_04
320@byaki_04,320@byaki_05
352@byaki_05,352@byaki_06
85@byaki_06,85@byaki_07
351@byaki_07,351@byaki_08
239@byaki_02,239@byaki_08
289@byaki_03,289@byaki_09
# End equated stations
0@byaki_01.byaki,1@byaki_01.byaki,4.25,111.40,-2.30
1@byaki_01.byaki,2@byaki_01.byaki,5.33,354.20,0.40
2@byaki_01.byaki,3@byaki_01.byaki,4.98,91.60,-44.30
3@byaki_01.byaki,4@byaki_01.byaki,0.25,53.70,-0.50
4@byaki_01.byaki,5@byaki_01.byaki,10.71,93.40,-0.50
5@byaki_01.byaki,6@byaki_01.byaki,4.44,113.90,22.00
6@byaki_01.byaki,7@byaki_01.byaki,5.75,129.10,-13.00
7@byaki_01.byaki,8@byaki_01.byaki,3.73,65.30,0.00
8@byaki_01.byaki,141@byaki_01.byaki,2.98,125.50,6.60
141@byaki_01.byaki,9@byaki_01.byaki,12.17,78.50,-0.10
9@byaki_01.byaki,10@byaki_01.byaki,2.40,101.10,15.40
10@byaki_01.byaki,11@byaki_01.byaki,10.93,131.80,-2.50
11@byaki_01.byaki,12@byaki_01.byaki,8.81,115.70,5.60
12@byaki_01.byaki,145@byaki_01.byaki,8.13,102.40,6.80
145@byaki_01.byaki,13@byaki_01.byaki,4.35,31.30,-7.20
13@byaki_01.byaki,14@byaki_01.byaki,6.61,72.30,5.90
14@byaki_01.byaki,146@byaki_01.byaki,4.99,9.70,9.80
146@byaki_01.byaki,15@byaki_01.byaki,4.44,260.80,-10.00
15@byaki_01.byaki,16@byaki_01.byaki,3.97,320.20,-13.40
16@byaki_01.byaki,17@byaki_01.byaki,8.36,357.20,0.50
17@byaki_01.byaki,147@byaki_01.byaki,1.75,320.80,3.40
147@byaki_01.byaki,18@byaki_01.byaki,3.48,347.90,0.30
18@byaki_01.byaki,19@byaki_01.byaki,1.53,30.70,5.50
19@byaki_01.byaki,20@byaki_01.byaki,9.13,287.50,-0.90
20@byaki_01.byaki,21@byaki_01.byaki,4.18,301.90,-4.50
21@byaki_01.byaki,148@byaki_01.byaki,2.80,3.40,-3.40
148@byaki_02.byaki,22@byaki_02.byaki,3.70,15.50,-6.90
22@byaki_02.byaki,23@byaki_02.byaki,10.93,100.90,3.40
23@byaki_02.byaki,175@byaki_02.byaki,7.70,41.60,-2.70
175@byaki_02.byaki,24@byaki_02.byaki,8.68,92.60,-2.60
24@byaki_02.byaki,160@byaki_02.byaki,7.63,86.10,2.70
160@byaki_02.byaki,159@byaki_02.byaki,13.85,61.90,2.90
159@byaki_02.byaki,163@byaki_02.byaki,5.04,77.20,-2.20
163@byaki_02.byaki,174@byaki_02.byaki,10.76,48.40,-0.80
174@byaki_02.byaki,25@byaki_02.byaki,6.16,36.10,3.50
25@byaki_02.byaki,209@byaki_02.byaki,12.50,62.00,-4.30
209@byaki_02.byaki,26@byaki_02.byaki,10.31,47.30,6.50
26@byaki_02.byaki,211@byaki_02.byaki,8.20,105.00,-4.60
211@byaki_02.byaki,212@byaki_02.byaki,6.63,53.70,-0.70
212@byaki_02.byaki,27@byaki_02.byaki,4.04,8.20,15.00
27@byaki_02.byaki,213@byaki_02.byaki,3.17,57.70,7.30
213@byaki_02.byaki,214@byaki_02.byaki,6.70,34.40,-5.60
214@byaki_02.byaki,28@byaki_02.byaki,5.29,31.40,-3.10
28@byaki_02.byaki,29@byaki_02.byaki,5.62,56.60,5.50
29@byaki_02.byaki,215@byaki_02.byaki,2.47,113.60,2.40
215@byaki_02.byaki,30@byaki_02.byaki,5.05,24.10,6.80
30@byaki_02.byaki,31@byaki_02.byaki,10.91,58.10,-0.70
31@byaki_02.byaki,32@byaki_02.byaki,3.40,114.40,0.90
32@byaki_02.byaki,216@byaki_02.byaki,2.24,61.60,5.60
216@byaki_02.byaki,33@byaki_02.byaki,5.45,347.80,-2.60
33@byaki_02.byaki,217@byaki_02.byaki,2.50,50.40,9.50
217@byaki_02.byaki,233@byaki_02.byaki,4.33,99.50,4.40
233@byaki_02.byaki,34@byaki_02.byaki,3.40,134.70,-0.50
34@byaki_02.byaki,35@byaki_02.byaki,14.05,68.70,1.90
35@byaki_02.byaki,36@byaki_02.byaki,8.01,106.10,3.20
36@byaki_02.byaki,234@byaki_02.byaki,4.13,80.20,-1.90
234@byaki_02.byaki,37@byaki_02.byaki,4.69,330.30,0.90
37@byaki_02.byaki,235@byaki_02.byaki,14.05,327.10,-3.10
235@byaki_02.byaki,237@byaki_02.byaki,10.19,57.40,1.80
237@byaki_02.byaki,38@byaki_02.byaki,7.58,41.30,-5.10
38@byaki_02.byaki,39@byaki_02.byaki,5.75,49.10,-0.10
39@byaki_02.byaki,238@byaki_02.byaki,3.04,131.20,5.10
238@byaki_02.byaki,40@byaki_02.byaki,6.04,134.30,-1.00
40@byaki_02.byaki,41@byaki_02.byaki,10.12,66.40,6.00
41@byaki_02.byaki,-,5.16,49.20,4.50
41@byaki_02.byaki,-,3.28,49.20,4.50
41@byaki_02.byaki,-,2.70,49.20,4.40
41@byaki_02.byaki,-,5.17,49.30,4.40
41@byaki_02.byaki,239@byaki_02.byaki,5.10,48.60,3.20
239@byaki_02.byaki,42@byaki_02.byaki,6.82,177.20,-1.70
42@byaki_03.byaki,43@byaki_03.byaki,21.40,121.80,2.00
43@byaki_03.byaki,289@byaki_03.byaki,6.24,138.20,-1.90
239@byaki_04.byaki,44@byaki_04.byaki,9.66,9.00,-3.50
44@byaki_04.byaki,291@byaki_04.byaki,4.72,71.30,6.70
291@byaki_04.byaki,45@byaki_04.byaki,8.20,334.30,-12.00
45@byaki_04.byaki,46@byaki_04.byaki,8.02,320.70,5.30
46@byaki_04.byaki,293@byaki_04.byaki,4.43,354.00,-1.90
293@byaki_04.byaki,-,14.54,265.70,-2.90
293@byaki_04.byaki,47@byaki_04.byaki,13.98,265.60,-3.00
47@byaki_04.byaki,297@byaki_04.byaki,5.34,295.50,12.40
297@byaki_04.byaki,48@byaki_04.byaki,5.35,22.30,-5.50
48@byaki_04.byaki,298@byaki_04.byaki,3.64,296.60,-0.10
298@byaki_04.byaki,49@byaki_04.byaki,4.82,220.70,-11.90
49@byaki_04.byaki,299@byaki_04.byaki,10.64,267.80,0.70
299@byaki_04.byaki,50@byaki_04.byaki,8.13,337.80,-8.10
50@byaki_04.byaki,51@byaki_04.byaki,13.55,260.20,0.30
51@byaki_04.byaki,321@byaki_04.byaki,17.27,340.10,1.30
321@byaki_04.byaki,320@byaki_04.byaki,9.85,252.80,-5.60
320@byaki_05.byaki,-,3.07,96.70,10.20
320@byaki_05.byaki,-,3.01,92.40,9.60
320@byaki_05.byaki,-,3.01,87.90,8.80
320@byaki_05.byaki,-,2.85,83.40,9.00
320@byaki_05.byaki,-,2.89,79.50,9.10
320@byaki_05.byaki,-,3.15,75.30,8.40
320@byaki_05.byaki,-,3.16,70.90,8.80
320@byaki_05.byaki,-,3.16,66.10,8.90
320@byaki_05.byaki,-,3.11,62.70,8.60
320@byaki_05.byaki,-,3.61,45.60,7.40
320@byaki_05.byaki,-,3.64,42.10,6.50
